entry,dist,date,feedname,feed,title
BostonHerald|472,0.975524483732436,2015-07-16,BostonHerald,0,George H.W. Bush hospitalized after fall
BostonHerald|600,0.9218008140089172,2015-07-17,BostonHerald,0,Hillary Clinton stocks campaign with Market Basket strategy
BostonHerald|791,0.9670403095200993,2015-07-18,BostonHerald,0,Regulators: Trump can keep big sign at downtown DC building
LATimes|75,0.32652676926117424,2015-07-13,LATimes,3,Deal between Greece and European creditors raises questions
NYTimes|48,0.8261613602544973,2015-07-14,NYTimes,5,"Wage Debate: Should Americans Work More? To Hit 4 Percent Growth, We Would Have To"
WashingtonPost|127,0.6285887433929976,2015-07-15,WashingtonPost,9,Wonkblog: The one problem with Obama’s big speech on crime
NYTimes|155,0.8386836095521238,2015-07-16,NYTimes,5,"First Draft: Today in Politics: A Close Look at Donors, War Chests and ‘Burn Rates’"
StLouisPost|120,0.8819547865896271,2015-07-14,StLouisPost,6,"After commutations, Obama seeks broader justice changes"
USAToday|290,0.9383617501901526,2015-07-16,USAToday,7,8 things to watch for at GOP Family Leadership Summit
NYPost|347,0.9601239461553588,2015-07-16,NYPost,4,New Miss USA is sick of the Donald Trump drama
BostonHerald|559,0.8631520818728455,2015-07-16,BostonHerald,0,USOC in Boston to meet with 2024 Olympics organizers
WallStreetJournal|56,0.5730432730269877,2015-07-15,WallStreetJournal,8,Greece's Lessons for an Indebted World
BostonHerald|408,0.8717728526983104,2015-07-15,BostonHerald,0,"In South Carolina, battle flag not an issue for Walker"
NYTimes|12,0.8781104649419705,2015-07-13,NYTimes,5,"Scott Walker Declares Presidential Candidacy, Looking to Regain Momentum"
StLouisPost|443,0.7349025040858096,2015-07-16,StLouisPost,6,US pushes for NGO's acceptance despite China lobbying
BostonHerald|477,0.8999247897067614,2015-07-16,BostonHerald,0,Letter: Immigration broken
USAToday|20,0.880976000282515,2015-07-13,USAToday,7,Obama's clemency grant largest since the 1960s
StLouisPost|121,0.5942882684624441,2015-07-14,StLouisPost,6,Ukraine PM says reforms continue despite 'lunatic' lawmakers
NYTimes|139,0.8582170068446819,2015-07-16,NYTimes,5,House Republicans to Investigate Planned Parenthood Over Fetal Tissue
BostonHerald|778,0.7419515066538843,2015-07-18,BostonHerald,0,Nuclear deal has companies eyeing Iranian opportunities anew
StLouisPost|780,0.8966919524760293,2015-07-18,StLouisPost,6,Trumps' attack on McCain overshadows more substantive issues
LATimes|1018,0.8406784134135531,2015-07-19,LATimes,3,Hillary Clinton's fair growth gambit
LATimes|885,0.700664390097517,2015-07-17,LATimes,3,After Chattanooga: How to make military personnel safer
ChicagoTribune|206,0.9172115580205699,2015-07-17,ChicagoTribune,1,Former Marine charged with stealing identities of other Marines
DailyNews|288,0.9712259180919645,2015-07-15,DailyNews,2,Kate Steinle’s brother says Trump ‘sensationalizing’ murder
NYPost|364,0.9136365438582592,2015-07-16,NYPost,4,Amber Heard charged after smuggling dogs into Australia
DailyNews|145,0.913006770213614,2015-07-13,DailyNews,2,Editorial: Donald’s dream act
StLouisPost|122,0.9231616774671288,2015-07-14,StLouisPost,6,"Behind in the polls, O'Malley looks to Iowa"
WashingtonPost|79,0.8878469889046744,2015-07-14,WashingtonPost,9,O’Malley says he would take executive action to limit deportations
BostonHerald|105,0.9493738205744495,2015-07-14,BostonHerald,0,Wisconsin Gov. Scott Walker touts self as a leader who beat long odds
StLouisPost|285,0.7932654087168465,2015-07-15,StLouisPost,6,"AP-GfK Poll: Ahead of deal, Americans express mixed feelings"
DailyNews|730,0.9803540799007965,2015-07-19,DailyNews,2,George H.W. Bush released from hospital after breaking bone
StLouisPost|63,0.859525385283683,2015-07-13,StLouisPost,6,VA says it may shut down hospitals to close $2.5B budget gap
LATimes|1065,0.8837298543601083,2015-07-19,LATimes,3,Bid to alter drug laws and allow some early prison releases gains ground in Congress
LATimes|888,0.8475246020580546,2015-07-17,LATimes,3,Saturday's TV highlights and weekend talk: 'Cedar Cove' and more
StLouisPost|676,0.8985117024745326,2015-07-17,StLouisPost,6,Obama meets Detroit woman believed to be oldest veteran
NYPost|564,0.9019897269186716,2015-07-17,NYPost,4,"Obama plans fund-raising, time with daughters in NYC visit"
